season,date,home,away,gh,ga,match_id
2021-2022,2022-06-08,Rhein-Neckar,Kiel,26,33,W8CAnuRK
2021-2022,2022-06-08,MT Melsungen,HSG Wetzlar,27,22,AaBEoatR
2021-2022,2022-06-08,HBW Balingen-Weilstetten,Fuchse Berlin,23,23,G0jgvHY0
2021-2022,2022-06-08,Goppingen,Lemgo,33,33,KYdptw4l
2021-2022,2022-06-08,Flensburg-H.,Bergischer,21,24,lpN5mLBE
2021-2022,2022-06-09,Leipzig,SC Magdeburg,31,36,trbtsJlr
2021-2022,2022-06-09,Hamburg,Stuttgart,27,32,lEl1xe3D
2021-2022,2022-06-09,N-Lubbecke,Hannover-Burgdorf,21,20,ANkcwyl7
2021-2022,2022-06-09,Minden,Erlangen,22,21,2cnkucJf
2021-2022,2022-06-12,Bergischer,N-Lubbecke,26,22,2HEzifI6
2021-2022,2022-06-12,Stuttgart,MT Melsungen,28,25,OQFWiz30
2021-2022,2022-06-12,SC Magdeburg,Rhein-Neckar,37,34,4MWm0beK
2021-2022,2022-06-12,Lemgo,Hamburg,28,24,fiBShGmf
2021-2022,2022-06-12,Kiel,Goppingen,42,35,QVXq1vtE
2021-2022,2022-06-12,HSG Wetzlar,Minden,30,28,G0COgdYm
2021-2022,2022-06-12,Hannover-Burgdorf,Leipzig,26,26,bqWiaIAQ
2021-2022,2022-06-12,Fuchse Berlin,Flensburg-H.,22,28,YyNJfxJs
2021-2022,2022-06-12,Erlangen,HBW Balingen-Weilstetten,33,26,pt4ujEXC
2022-2023,2022-09-01,Hamburg,Flensburg-H.,30,31,CbY4OevH
2022-2023,2022-09-01,Hannover-Burgdorf,Leipzig,25,22,86ylSwuh
2022-2023,2022-09-01,Lemgo,Gummersbach,26,30,xtthRcfb
2022-2023,2022-09-01,Erlangen,HSG Wetzlar,31,27,beU0PyPA
2022-2023,2022-09-03,Rhein-Neckar,MT Melsungen,36,25,6LX8NFgN
2022-2023,2022-09-04,SC Magdeburg,Hamm-Westfalen,31,23,pCWCMZ8T
2022-2023,2022-09-04,Minden,Bergischer,25,28,SpwJuc9i
2022-2023,2022-09-04,Kiel,Stuttgart,36,23,zijXHgHp
2022-2023,2022-09-04,Fuchse Berlin,Goppingen,34,27,EskyHDWj
2022-2023,2022-09-07,Leipzig,Kiel,22,32,OCWRwyv4
2022-2023,2022-09-07,HSG Wetzlar,Fuchse Berlin,25,37,23VVxegA
2022-2023,2022-09-07,Goppingen,Lemgo,34,31,WxzzxF8G
2022-2023,2022-09-07,Flensburg-H.,Minden,36,23,tlsNvHOc
2022-2023,2022-09-07,Bergischer,Hannover-Burgdorf,22,23,ATYwyZNM
2022-2023,2022-09-08,Stuttgart,Erlangen,27,29,SpFAVCop
2022-2023,2022-09-08,MT Melsungen,Hamburg,30,27,hhOrzgwT
2022-2023,2022-09-08,Hamm-Westfalen,Rhein-Neckar,30,35,M7EEUW0j
2022-2023,2022-09-08,Gummersbach,SC Magdeburg,28,30,0bDITjGd
2022-2023,2022-09-10,Fuchse Berlin,Stuttgart,31,21,IZs3y3Z2
2022-2023,2022-09-10,Lemgo,MT Melsungen,28,28,Cds7zNl9
2022-2023,2022-09-10,Hannover-Burgdorf,Flensburg-H.,25,35,vqqaxqKd
2022-2023,2022-09-11,SC Magdeburg,HSG Wetzlar,32,28,6cauIEYs
2022-2023,2022-09-11,Kiel,Bergischer,35,29,QaoBZt4F
2022-2023,2022-09-11,Hamburg,Minden,27,21,W4diFCI0
2022-2023,2022-09-11,Gummersbach,Hamm-Westfalen,29,28,hEcmGh3f
2022-2023,2022-09-11,Erlangen,Goppingen,34,28,plbqHYml
2022-2023,2022-09-15,Rhein-Neckar,Leipzig,30,24,SWk0DjmD
2022-2023,2022-09-15,Flensburg-H.,Fuchse Berlin,31,31,tzvrxzQD
2022-2023,2022-09-15,Bergischer,Lemgo,32,28,KQxnyfuK
2022-2023,2022-09-17,Stuttgart,Rhein-Neckar,30,43,vBJIVX2s
2022-2023,2022-09-17,Hamm-Westfalen,Erlangen,29,32,x2XjzEfQ
2022-2023,2022-09-18,Goppingen,SC Magdeburg,26,31,YXIMUiIm
2022-2023,2022-09-18,Leipzig,Hamburg,22,23,EsRUSVn0
2022-2023,2022-09-18,HSG Wetzlar,Gummersbach,29,30,hYPYRk26
2022-2023,2022-09-18,MT Melsungen,Hannover-Burgdorf,28,31,WIyQTBXg
2022-2023,2022-09-18,Minden,Kiel,18,34,M7UxR9HC
2022-2023,2022-09-22,Hamburg,Bergischer,33,23,G6BTmXOP
2022-2023,2022-09-22,Gummersbach,Stuttgart,29,24,237PlD9J
2022-2023,2022-09-22,Fuchse Berlin,Hamm-Westfalen,37,26,0bTtQTWI
2022-2023,2022-09-22,Leipzig,Erlangen,32,29,0K4Hx7GO
2022-2023,2022-09-24,Rhein-Neckar,Flensburg-H.,28,27,CxcarBnm
2022-2023,2022-09-24,HSG Wetzlar,Goppingen,25,25,hlEdsV1g
2022-2023,2022-09-25,SC Magdeburg,Minden,39,25,Q1C4u9W5
2022-2023,2022-09-25,Lemgo,Leipzig,29,29,v5G8vToC
2022-2023,2022-09-25,Hannover-Burgdorf,Kiel,27,29,WvD0tkHa
2022-2023,2022-09-25,Erlangen,MT Melsungen,34,34,MT5Dwm1I
2022-2023,2022-09-29,Bergischer,Rhein-Neckar,26,27,jqpRdA1t
2022-2023,2022-09-29,Hamm-Westfalen,HSG Wetzlar,23,29,prwzelWh
2022-2023,2022-09-29,Minden,Hannover-Burgdorf,34,35,Y7ZVeUGn
2022-2023,2022-09-29,Stuttgart,Lemgo,32,28,lzba1jgP
2022-2023,2022-10-01,Flensburg-H.,SC Magdeburg,35,34,v5xvf8oa
2022-2023,2022-10-02,MT Melsungen,Fuchse Berlin,29,32,IeyrgS05
2022-2023,2022-10-02,Kiel,Hamburg,40,28,ENUji6VH
2022-2023,2022-10-02,Goppingen,Gummersbach,29,28,zXVnhnGB
2022-2023,2022-10-02,Stuttgart,Bergischer,27,26,noCmRCCl
2022-2023,2022-10-06,Rhein-Neckar,Minden,37,25,MmYbkp0U
2022-2023,2022-10-06,HSG Wetzlar,Stuttgart,32,24,nBa5ATVu
2022-2023,2022-10-06,Hannover-Burgdorf,Hamburg,28,27,8pUfjQpO
2022-2023,2022-10-06,Erlangen,Bergischer,30,27,Q1b99mon
2022-2023,2022-10-08,Hamm-Westfalen,Goppingen,32,28,KxDC870h
2022-2023,2022-10-09,Gummersbach,Leipzig,36,36,lI4T4PaH
2022-2023,2022-10-09,Fuchse Berlin,Kiel,34,26,bTBG7RFb
2022-2023,2022-10-09,SC Magdeburg,MT Melsungen,27,23,th1L6oV4
2022-2023,2022-10-09,Lemgo,Flensburg-H.,26,21,fe5P55pB
2022-2023,2022-10-22,Flensburg-H.,Goppingen,27,24,rJM1nHqj
2022-2023,2022-10-22,Hannover-Burgdorf,Lemgo,29,25,M9L5oyad
2022-2023,2022-10-22,Minden,Erlangen,25,32,xx646xyM
2022-2023,2022-10-23,Stuttgart,Hamm-Westfalen,29,20,UB2d8b69
2022-2023,2022-10-23,MT Melsungen,HSG Wetzlar,21,19,zD9mAKyc
2022-2023,2022-10-23,Leipzig,Fuchse Berlin,26,31,nmDi9vi3
2022-2023,2022-10-23,Kiel,Rhein-Neckar,32,29,QsSdmcUq
2022-2023,2022-10-23,Hamburg,Gummersbach,34,31,GS485djS
2022-2023,2022-10-27,Hamm-Westfalen,MT Melsungen,18,28,fZizKe5L
2022-2023,2022-10-27,Gummersbach,Minden,26,22,xbsuJFKR
2022-2023,2022-10-27,Goppingen,Stuttgart,24,25,n9lSLHz9
2022-2023,2022-10-29,Fuchse Berlin,Bergischer,29,27,UZpqafTe
2022-2023,2022-10-30,Lemgo,Hamburg,28,32,8IkOMcL2
2022-2023,2022-10-30,HSG Wetzlar,Flensburg-H.,22,27,8QqmbEr2
2022-2023,2022-10-30,SC Magdeburg,Leipzig,32,24,M9sy1Gbq
2022-2023,2022-10-30,Rhein-Neckar,Hannover-Burgdorf,32,31,zDou0zEk
2022-2023,2022-11-03,MT Melsungen,Gummersbach,28,22,UeMJBXC1
2022-2023,2022-11-03,Hannover-Burgdorf,Erlangen,29,28,nXWECDce
2022-2023,2022-11-03,Flensburg-H.,Hamm-Westfalen,37,23,8tYADgrk
2022-2023,2022-11-05,Kiel,Lemgo,32,33,v7T6EZSr
2022-2023,2022-11-06,Minden,Fuchse Berlin,32,27,xCMDXEZK
2022-2023,2022-11-06,Leipzig,Goppingen,25,26,StuNAiS7
2022-2023,2022-11-06,Hamburg,Rhein-Neckar,40,37,G2LHWYlR
2022-2023,2022-11-06,Bergischer,HSG Wetzlar,24,23,KzS8YfKE
2022-2023,2022-11-08,Hamm-Westfalen,Kiel,24,37,4ntephJQ
2022-2023,2022-11-09,SC Magdeburg,Rhein-Neckar,32,32,U91hQWRf
2022-2023,2022-11-09,Goppingen,MT Melsungen,23,29,dMxmnElE
2022-2023,2022-11-10,Erlangen,Hamburg,35,29,APtioY3K
2022-2023,2022-11-10,Fuchse Berlin,Hannover-Burgdorf,32,30,800dPjs1
2022-2023,2022-11-10,Gummersbach,Flensburg-H.,31,29,6eSMuCRs
2022-2023,2022-11-10,HSG Wetzlar,Leipzig,24,25,GQa0OAd7
2022-2023,2022-11-10,Lemgo,Minden,30,27,fHb4NUBD
2022-2023,2022-11-12,Flensburg-H.,Erlangen,31,29,dpLZxAB0
2022-2023,2022-11-13,Rhein-Neckar,Lemgo,37,28,jqEryltD
2022-2023,2022-11-13,MT Melsungen,Stuttgart,33,26,UZCnz8eJ
2022-2023,2022-11-13,Minden,HSG Wetzlar,26,29,xvJ2tqIh
2022-2023,2022-11-13,Leipzig,Hamm-Westfalen,33,23,GOUgr5mt
2022-2023,2022-11-13,Kiel,Goppingen,30,26,OWMRvWtl
2022-2023,2022-11-13,Hamburg,Fuchse Berlin,28,37,jsN6u3Xb
2022-2023,2022-11-13,Bergischer,Gummersbach,30,30,fFTcsP2n
2022-2023,2022-11-16,Erlangen,Kiel,27,34,tWmWKyjF
2022-2023,2022-11-16,Stuttgart,SC Magdeburg,28,32,tpT4Zz58
2022-2023,2022-11-17,Goppingen,Minden,26,29,OUkJzunU
2022-2023,2022-11-19,Erlangen,Rhein-Neckar,30,33,rF6VwBDi
2022-2023,2022-11-19,Hamm-Westfalen,Bergischer,27,31,ClBZxVSc
2022-2023,2022-11-19,SC Magdeburg,Kiel,33,34,p4MAvNn5
2022-2023,2022-11-19,HSG Wetzlar,Hamburg,28,30,U7jFyLWN
2022-2023,2022-11-20,Stuttgart,Leipzig,26,33,4O7Rvibo
2022-2023,2022-11-20,MT Melsungen,Flensburg-H.,25,25,jHiBx1HH
2022-2023,2022-11-20,Fuchse Berlin,Lemgo,32,26,OfLEws2B
2022-2023,2022-11-24,Rhein-Neckar,Fuchse Berlin,32,34,Ii1fY6sT
2022-2023,2022-11-24,Minden,Hamm-Westfalen,32,23,4rzDjlcc
2022-2023,2022-11-24,Leipzig,MT Melsungen,40,33,boqNTQkp
2022-2023,2022-11-24,Hannover-Burgdorf,HSG Wetzlar,23,26,v12jZnSM
2022-2023,2022-11-27,Bergischer,Goppingen,28,26,juW8iUsi
2022-2023,2022-11-27,Flensburg-H.,Stuttgart,29,25,pv3nzTCG
2022-2023,2022-11-27,Hamburg,SC Magdeburg,28,30,n7PHk8C3
2022-2023,2022-11-27,Kiel,Gummersbach,31,28,Y3ary9cA
2022-2023,2022-11-27,Lemgo,Erlangen,34,27,xxrRSp5j
2022-2023,2022-12-01,Stuttgart,Minden,27,23,4C18uOld
2022-2023,2022-12-01,Gummersbach,Rhein-Neckar,29,32,Esqa2od9
2022-2023,2022-12-01,Goppingen,Hamburg,26,26,Wb30spKq
2022-2023,2022-12-03,Erlangen,Fuchse Berlin,28,30,tUpi47Rd
2022-2023,2022-12-04,SC Magdeburg,Lemgo,37,33,QcOLlSR9
2022-2023,2022-12-04,Leipzig,Flensburg-H.,31,30,CEMTn6dM
2022-2023,2022-12-04,HSG Wetzlar,Kiel,25,31,fwCYoQBS
2022-2023,2022-12-04,Hamm-Westfalen,Hannover-Burgdorf,29,29,KKqe3Rt3
2022-2023,2022-12-04,MT Melsungen,Bergischer,22,22,YNNPmnsG
2022-2023,2022-12-08,Lemgo,HSG Wetzlar,34,29,4QtsfN3k
2022-2023,2022-12-08,Hamburg,Hamm-Westfalen,32,25,hnNyG4Q8
2022-2023,2022-12-08,Erlangen,Gummersbach,31,37,0hzjh1Y1
2022-2023,2022-12-10,Minden,Leipzig,28,29,EeOXGpB2
2022-2023,2022-12-11,Bergischer,Flensburg-H.,18,31,nkWogsJe
2022-2023,2022-12-11,Hannover-Burgdorf,Stuttgart,27,22,fii70PQL
2022-2023,2022-12-11,Kiel,MT Melsungen,24,22,CS1215BF
2022-2023,2022-12-11,Rhein-Neckar,Goppingen,36,33,YsjBaqtS
2022-2023,2022-12-11,Fuchse Berlin,SC Magdeburg,31,32,QZswe3lq
2022-2023,2022-12-15,Gummersbach,Hannover-Burgdorf,27,34,juAwxkr4
2022-2023,2022-12-15,Stuttgart,Hamburg,22,28,nTdRihvJ
2022-2023,2022-12-15,MT Melsungen,Minden,31,28,4p16dGPm
2022-2023,2022-12-15,Hamm-Westfalen,Lemgo,25,30,lYzAGyHJ
2022-2023,2022-12-17,SC Magdeburg,Erlangen,31,28,AN12cdAs
2022-2023,2022-12-18,Leipzig,Bergischer,27,32,0CfFfff0
2022-2023,2022-12-18,HSG Wetzlar,Rhein-Neckar,23,29,v3gJgE96
2022-2023,2022-12-18,Gummersbach,Fuchse Berlin,28,30,08vEFeWP
2022-2023,2022-12-18,Goppingen,Hannover-Burgdorf,33,29,8xbNhYOC
2022-2023,2022-12-18,Flensburg-H.,Kiel,36,23,YcvZEOuF
2022-2023,2022-12-26,Rhein-Neckar,Hamm-Westfalen,37,27,0WM06igC
2022-2023,2022-12-26,SC Magdeburg,Goppingen,33,29,EFKl9g9g
2022-2023,2022-12-26,Kiel,Minden,36,29,ImRuBFvs
2022-2023,2022-12-26,MT Melsungen,Lemgo,20,19,MoB94VNO
2022-2023,2022-12-27,Erlangen,Stuttgart,31,28,z3EjTE0P
2022-2023,2022-12-27,Hannover-Burgdorf,Bergischer,30,32,nTId7Xw6
2022-2023,2022-12-27,Fuchse Berlin,Leipzig,28,22,reC55B8I
2022-2023,2022-12-27,Flensburg-H.,HSG Wetzlar,34,24,dvQqAZgm
2022-2023,2022-12-27,Gummersbach,Hamburg,31,30,xC0IOY8t
2022-2023,2023-02-09,Minden,Rhein-Neckar,29,40,dtonIlhO
2022-2023,2023-02-09,HSG Wetzlar,Hannover-Burgdorf,24,31,YwfRMCwg
2022-2023,2023-02-09,Goppingen,Erlangen,31,25,6ihZKj85
2022-2023,2023-02-09,Gummersbach,Lemgo,28,29,WfDlQopo
2022-2023,2023-02-12,Bergischer,MT Melsungen,28,27,2JorJUxI
2022-2023,2023-02-12,Lemgo,SC Magdeburg,28,34,S0gVLWha
2022-2023,2023-02-12,Stuttgart,Flensburg-H.,30,32,OSnvKANB
2022-2023,2023-02-12,Hamm-Westfalen,Fuchse Berlin,29,32,8GljH87U
2022-2023,2023-02-16,MT Melsungen,Leipzig,28,29,lzAPV7MN
2022-2023,2023-02-18,Fuchse Berlin,HSG Wetzlar,29,25,AqBLWm7H
2022-2023,2023-02-18,Kiel,Hamm-Westfalen,40,29,CUE0yChn
2022-2023,2023-02-19,SC Magdeburg,Hamburg,32,28,KfI8ZkNb
2022-2023,2023-02-19,Rhein-Neckar,Stuttgart,41,27,GMBHXTiB
2022-2023,2023-02-19,Hannover-Burgdorf,Goppingen,28,24,2J7DY9x5
2022-2023,2023-02-19,Flensburg-H.,Bergischer,30,17,t4J4zW7h
2022-2023,2023-02-23,Hamburg,Hannover-Burgdorf,32,26,0nTSQIzd
2022-2023,2023-02-23,HSG Wetzlar,Erlangen,28,35,tQfum9ib
2022-2023,2023-02-23,Hamm-Westfalen,Gummersbach,22,21,6PTORbLk
2022-2023,2023-02-25,Goppingen,Rhein-Neckar,25,27,ljbmomMA
2022-2023,2023-02-26,Lemgo,Kiel,22,28,KGgqnT64
2022-2023,2023-02-26,Leipzig,SC Magdeburg,33,32,b15zlkxh
2022-2023,2023-02-26,Fuchse Berlin,MT Melsungen,35,25,pb1WlVMo
2022-2023,2023-02-26,Bergischer,Stuttgart,25,26,Stcip7yH
2022-2023,2023-03-02,Gummersbach,MT Melsungen,31,23,ImN9bcdR
2022-2023,2023-03-02,Bergischer,Minden,34,32,MLT00JRE
2022-2023,2023-03-02,Rhein-Neckar,HSG Wetzlar,34,24,URtFxGZ7
2022-2023,2023-03-02,Stuttgart,Goppingen,24,24,rVUd1aC8
2022-2023,2023-03-05,Flensburg-H.,Hamburg,34,32,f9l2uIkk
2022-2023,2023-03-05,Kiel,Leipzig,31,34,nqkbtbzq
2022-2023,2023-03-05,Erlangen,Lemgo,31,31,vcO5awsL
2022-2023,2023-03-05,SC Magdeburg,Fuchse Berlin,34,29,Yam6vx5e
2022-2023,2023-03-05,Hannover-Burgdorf,Hamm-Westfalen,30,26,GOxBwdK1
2022-2023,2023-03-16,Hannover-Burgdorf,SC Magdeburg,34,31,8KOwxUQ6
2022-2023,2023-03-16,Minden,Stuttgart,23,29,KGVxboND
2022-2023,2023-03-16,Leipzig,Rhein-Neckar,37,29,UR2pheZf
2022-2023,2023-03-16,Fuchse Berlin,Gummersbach,38,33,zT9yfH4r
2022-2023,2023-03-18,Goppingen,Flensburg-H.,27,27,Gr5dkgJD
2022-2023,2023-03-19,Hamm-Westfalen,SC Magdeburg,27,36,YJZtc5xK
2022-2023,2023-03-19,HSG Wetzlar,Bergischer,22,28,8I1liFl1
2022-2023,2023-03-19,Hamburg,Erlangen,33,29,StZpdPiQ
2022-2023,2023-03-19,Lemgo,Hannover-Burgdorf,35,30,xh6hjZ37
2022-2023,2023-03-19,MT Melsungen,Kiel,19,23,n3DugyKl
2022-2023,2023-03-23,Rhein-Neckar,Hamburg,32,35,rTgLm1a6
2022-2023,2023-03-23,Erlangen,Leipzig,36,32,hbyCAO6J
2022-2023,2023-03-23,Bergischer,Hamm-Westfalen,34,24,4rrUouUI
2022-2023,2023-03-25,Minden,Goppingen,27,27,WlzG9rMP
2022-2023,2023-03-26,Hannover-Burgdorf,MT Melsungen,26,26,UPkHlsp0
2022-2023,2023-03-26,Kiel,Fuchse Berlin,36,29,UkLCiq0s
2022-2023,2023-03-26,Flensburg-H.,Lemgo,34,27,dCi9j3Fm
2022-2023,2023-03-26,Stuttgart,HSG Wetzlar,28,30,QiqQnLEC
2022-2023,2023-03-26,SC Magdeburg,Gummersbach,41,29,z3jDkNUg
2022-2023,2023-03-30,Leipzig,Gummersbach,30,34,KzjNNhOn
2022-2023,2023-03-30,Lemgo,Rhein-Neckar,33,30,ve9a1KT5
2022-2023,2023-03-30,Stuttgart,MT Melsungen,23,26,tn4r1BZM
2022-2023,2023-04-01,HSG Wetzlar,Minden,25,27,MJEf20Ea
2022-2023,2023-04-01,Hamm-Westfalen,Flensburg-H.,29,37,C877abbI
2022-2023,2023-04-02,Goppingen,Bergischer,37,28,Io830vqC
2022-2023,2023-04-02,Hamburg,Stuttgart,27,27,QkEJ6F5o
2022-2023,2023-04-02,Gummersbach,Kiel,26,30,OpzyrWSp
2022-2023,2023-04-02,MT Melsungen,SC Magdeburg,27,27,l6Gn4Mqm
2022-2023,2023-04-02,Leipzig,Hannover-Burgdorf,29,31,rTFj3tag
2022-2023,2023-04-06,Bergischer,SC Magdeburg,34,38,82107ILF
2022-2023,2023-04-06,Hannover-Burgdorf,Fuchse Berlin,32,33,jcBV3Dk4
2022-2023,2023-04-06,Goppingen,HSG Wetzlar,26,28,nP4v2iKG
2022-2023,2023-04-06,Flensburg-H.,Leipzig,30,27,C6CR4gzb
2022-2023,2023-04-09,Bergischer,Hamburg,37,34,Kx3n0VlT
2022-2023,2023-04-09,Rhein-Neckar,Gummersbach,37,42,YL0z3X4A
2022-2023,2023-04-09,Minden,Lemgo,36,35,vNqJf9Cj
2022-2023,2023-04-09,Kiel,SC Magdeburg,34,34,4tDN5ZKi
2022-2023,2023-04-09,Erlangen,Hamm-Westfalen,37,27,0WpFekcp
2022-2023,2023-04-20,Hamburg,Goppingen,31,28,YcOe8Stj
2022-2023,2023-04-20,Hamm-Westfalen,Minden,31,26,2FXPDlJS
2022-2023,2023-04-20,MT Melsungen,Erlangen,31,18,CQvDGjZ9
2022-2023,2023-04-20,Leipzig,Stuttgart,25,30,t0qHFAlG
2022-2023,2023-04-22,Lemgo,Bergischer,38,28,KjrLEU3M
2022-2023,2023-04-23,Erlangen,Minden,29,28,UoRMURyU
2022-2023,2023-04-23,SC Magdeburg,Hannover-Burgdorf,31,30,jBj4IC4c
2022-2023,2023-04-23,Kiel,Flensburg-H.,29,19,hQX0Jhki
2022-2023,2023-04-23,Gummersbach,HSG Wetzlar,37,30,vyPi98Rq
2022-2023,2023-04-23,Fuchse Berlin,Rhein-Neckar,38,24,YZu9HWJ3
2022-2023,2023-05-03,Erlangen,SC Magdeburg,23,38,C4BNMReq
2022-2023,2023-05-03,Goppingen,Hamm-Westfalen,39,32,bcVnTTIF
2022-2023,2023-05-03,Hannover-Burgdorf,Gummersbach,28,27,CtTzWVYd
2022-2023,2023-05-03,Rhein-Neckar,Kiel,27,31,jXRvVkl3
2022-2023,2023-05-03,Stuttgart,Fuchse Berlin,32,28,tMKiSmYL
2022-2023,2023-05-03,Minden,Hamburg,31,35,jeARLoBk
2022-2023,2023-05-04,HSG Wetzlar,Lemgo,26,24,pfRrU939
2022-2023,2023-05-04,Flensburg-H.,MT Melsungen,37,25,ClNa7ndd
2022-2023,2023-05-04,Bergischer,Leipzig,32,28,KCJeR7mS
2022-2023,2023-05-06,Lemgo,Goppingen,36,33,YFqVu72L
2022-2023,2023-05-06,Hamm-Westfalen,Stuttgart,27,27,SxqZvRHR
2022-2023,2023-05-07,Fuchse Berlin,Flensburg-H.,37,33,bciIr9I2
2022-2023,2023-05-07,Gummersbach,Erlangen,32,31,4bz1zoQr
2022-2023,2023-05-07,Hamburg,HSG Wetzlar,24,21,nNP5Z4uk
2022-2023,2023-05-07,Kiel,Hannover-Burgdorf,33,23,YJaWK5Qe
2022-2023,2023-05-07,SC Magdeburg,Bergischer,23,21,pf3zKPu2
2022-2023,2023-05-07,Leipzig,Minden,31,31,fPpRtmmF
2022-2023,2023-05-11,Minden,Flensburg-H.,27,41,8vBLSv6q
2022-2023,2023-05-11,Fuchse Berlin,Erlangen,39,30,xWCr52Ut
2022-2023,2023-05-11,HSG Wetzlar,Hamm-Westfalen,29,24,buxHW2P7
2022-2023,2023-05-11,Goppingen,Leipzig,34,30,0pGaen28
2022-2023,2023-05-13,Stuttgart,Kiel,30,37,EmK3f6HE
2022-2023,2023-05-13,Hamburg,Lemgo,28,32,t2zpzxWa
2022-2023,2023-05-14,Bergischer,Fuchse Berlin,34,30,6qrXxvns
2022-2023,2023-05-14,Erlangen,Hannover-Burgdorf,33,29,pzsyxb1m
2022-2023,2023-05-14,Flensburg-H.,Gummersbach,31,26,QDO9YOfe
2022-2023,2023-05-14,Rhein-Neckar,SC Magdeburg,35,37,KlwDXrA1
2022-2023,2023-05-14,Minden,MT Melsungen,21,28,2BytyIGg
2022-2023,2023-05-18,Leipzig,HSG Wetzlar,38,29,bw7AjcGt
2022-2023,2023-05-18,Hamm-Westfalen,Hamburg,27,34,f50Jlyog
2022-2023,2023-05-18,Gummersbach,Bergischer,37,34,lSaNme0a
2022-2023,2023-05-20,Fuchse Berlin,Minden,42,35,8ER0WgVO
2022-2023,2023-05-21,Kiel,Erlangen,35,26,zPZmZeo6
2022-2023,2023-05-21,SC Magdeburg,Flensburg-H.,30,28,nawhYF0C
2022-2023,2023-05-21,Lemgo,Stuttgart,29,24,t2dFkHVn
2022-2023,2023-05-21,Hannover-Burgdorf,Rhein-Neckar,30,31,UNSdXZFI
2022-2023,2023-05-25,MT Melsungen,Rhein-Neckar,25,34,xljMsTX8
2022-2023,2023-05-27,Hamburg,Kiel,30,34,YwGdxhwt
2022-2023,2023-06-01,MT Melsungen,Goppingen,26,23,dUKrew8P
2022-2023,2023-06-01,Minden,SC Magdeburg,30,44,SYnk2fFh
2022-2023,2023-06-01,Lemgo,Hamm-Westfalen,30,25,trEWqDaO
2022-2023,2023-06-01,Hamburg,Leipzig,28,31,6Pog1EUb
2022-2023,2023-06-01,Rhein-Neckar,Bergischer,39,29,Knh9cWTN
2022-2023,2023-06-04,Stuttgart,Gummersbach,31,30,K8qs4Gpt
2022-2023,2023-06-04,Rhein-Neckar,Erlangen,40,23,8UFOoZUB
2022-2023,2023-06-04,HSG Wetzlar,MT Melsungen,25,27,nLESpgpI
2022-2023,2023-06-04,Goppingen,Fuchse Berlin,25,19,foIzqXEU
2022-2023,2023-06-04,Flensburg-H.,Hannover-Burgdorf,30,35,SIbRnFF5
2022-2023,2023-06-04,Bergischer,Kiel,26,29,baro3z0n
